タイトル,アーティスト名,ボーカル,最低,最高,備考
ライアーダンス,DECO*27,初音ミク,mid2C,hiE,
ラヴィ,すりぃ,鏡音レン,mid2C#,hihiC#,
ラヴィット,ピノキオピー,初音ミク,mid2C#,hihiA,
ラグトレイン,稲葉曇,歌愛ユキ,mid1G,hiD#,
L'azur,Treow（逆衝動P）,初音ミク,mid1G#,hihihiD#,歌詞部分の最高音はhihihiC#直後のフェイク(ロングトーン)が最高音hihihiD#
ラストリゾート,Ayase,初音ミク,mid1F#,hihiB,
ラットが死んだ,P.I.N.A.,初音ミク,mid2A,hiC,
ラブカ？,柊キライ,flower,mid2A,hiD,
ラブレター・フロム・メランコリー,カラスヤサボウ,初音ミク,mid2E,hiF#,
ラプンツェル,n-buna,初音ミク,mid2E,hiG#,
乱,人生P,,lowG#,hiB,猫村いろはの曲。全体的に低音構成。
リスキーゲーム,黒うさP,初音ミク,mid2A,hiF#,
Restriction,人生P,巡音ルカ,lowG#,hiA#,巡音ルカの曲。最低音は1番のラップ部分。Bメロのオク下パートでlowCあり
リミッター,niki,Lily,mid1G#,hiE,
リモコン,じーざすP,鏡音リン,mid1G#,hiG#,リンパートはFakeでhihiG#出現
リモコン,じーざすP,鏡音レン,mid1G#,hiD#
lili.,有機酸,flower,mid2D#,hiD#,
リンカーネイション,kemu,GUMI,mid2C,hihiA,
リンカーネイション,kemu,鏡音リン,mid2C,hihiA
臨界ダイバー,うみろ,flower,mid2B,hiF#,
ルーマー,ポリスピカデリー,GUMI,mid2A,hiB,
ルカルカ★ナイトフィーバー,samfree,巡音ルカ,mid2D#,hiD#,巡音ルカの曲。
ルシファー,¿?,flower,mid2C#,hihiE,
ルマ,かいりきベア,初音ミク,mid2A,hiD#,
レコード・レド,shr,鏡音リン,mid1G#,hiC,
レトルトアイロニー,スズム,,mid1A#,hiG,
レイワイテロリズム,じっぷす,,,hihiA,
レインコート／憧憬／嫌悪／理解,ヒッキーP,鏡音リン,mid2D#,hihiF,
レゾンデイトル・カレイドスコウプ,ツミキ,初音ミク,mid2A#,hihiD,
劣等上等,ギガ,鏡音リン,mid2B,hihiB,
劣等上等,ギガ,鏡音レン,mid2A,hihiB
Ready Steady,ギガ,初音ミク,mid2D,hiF,
Ready Steady,ギガ,鏡音リン,mid2C,hiG(hihiA)
Ready Steady,ギガ,鏡音レン,mid1D,hiC
レムの魔法,傘村トータ,初音ミク,mid1G#,hiG#,
レンアイゲーム,ひとしずくP×やま△,鏡音レン,mid1E,hiA#,サビのコーラスはhiA～hiE(hiFはラスサビ)
恋愛裁判,40mP,初音ミク,mid1G#,hiE,
恋愛フィロソフィア,黒うさP,初音ミク,mid2A#,hiG,
レントリリー,ジグ,初音ミク,mid2C,hihiA#,
ロウワー,ぬゆり,flower,mid2C#,hihiB,
ローリンガール,wowaka(現実逃避P),初音ミク,mid2D,hihiB,赤:hihiA青:hihiBサビ「言葉に意味を奏でながら」
ロキ,みきとP,鏡音リン,mid2B,hiE,
六兆年と一夜物語,kemu,IA,mid2A,hiF#,
ロケットサイダー,ナユタン星人,初音ミク,mid2A,hihiA,
炉心融解,iroha,鏡音リン,mid2A,hihiC#,緑:hiG#赤:hihiA青:hihiB紫:hihiC#サビはhiG#以上の高音が連発ラスサビ直前のシャウトはhihiB「核融合炉にさ 飛び込んでみたいと思うーーー」
ロスタイムメモリー,じん(自然の敵P),IA,mid2A,hihiD,
ロストワンの号哭,Neru,鏡音リン,mid2B,hihiB,
ロミオとシンデレラ,doriko,初音ミク,mid1G#,hiF,
ロメオ,LIP×LIP(HoneyWorks),初音ミク,mid2C,hihiA,
ロメオ,LIP×LIP(HoneyWorks),GUMI,mid2C,hihiA
