タイトル,アーティスト名,ボーカル,最低,最高,備考
ガ,鬱P,初音ミク,mid1F,hiC#,
快晴,Orangestar,IA,mid1G#,hihiA#,
革命,Dios(シグナルP),初音ミク,hiA,hihiA,最高音最低音ともに頻出
カゲロウデイズ,じん(自然の敵P),初音ミク,mid2B,hihiC,hihiCはラスサビ1回のみ。
かなしみのなみにおぼれる,Neru,鏡音レン,mid1D,hiG,
可不ちゃんのカレーうどん狂騒曲,南ノ南,可不,mid2C,hiG(hihiE),ずんだもんパートはセリフのみなので音域は存在しない
可不ちゃんのカレーうどん狂騒曲,南ノ南,ずんだもん,-,-
可不ちゃんのカレーうどん狂騒曲,南ノ南,東北きりたん,mid2D,hiG
可不ちゃんのカレーうどん狂騒曲,南ノ南,東北ずん子,mid2F#,-
カプリスキャスト,ユギカ,鳴花ミコト,lowG#,hihiB,
神様からのアンケート,れるりり,初音ミク,mid2A#,hiC,
神様からのアンケート,れるりり,鏡音リン,mid2A#,hiC
カミサマネジマキ,kemu,GUMI,mid1F#,hiF,
神っぽいな,ピノキオピー,初音ミク,mid2F,hiF,
神のまにまに,れるりり,初音ミク,mid2D#,hiD#,
神のまにまに,れるりり,鏡音リン,mid1G#,hiD#
神のまにまに,れるりり,GUMI,mid1G#,hiD#
カムパネルラ,sasakure.UK,GUMI,mid2A#,hiE,
カメレオン,すりぃ,鏡音レン,mid2F,hihiA#,
からくりピエロ,40mP,初音ミク,,,
からくり卍ばーすと,ひとしずくP×やま△,鏡音リン,mid2C,hiF,
からくり卍ばーすと,ひとしずくP×やま△,鏡音レン,mid2C,hiF
からくりピエロ,40mP,初音ミク,mid2C,hiD,
カンタレラ,黒うさP,KAITO,mid1A#,hiA#,
giga戯画witch,黒澤まどか,鏡音リン,mid2B,hiE,
ギガンティックO.T.N,ギガ,鏡音レン,mid1G#,hiD,
如月アテンション,じん(自然の敵P),IA,mid2A#,hihiA#,
疑心暗鬼,梅とら,巡音ルカ,mid2A,hiD,
疑心暗鬼,梅とら,初音ミク,mid2A,hiC
疑心暗鬼,梅とら,GUMI,mid2A,hiC
疑心暗鬼,梅とら,IA,mid2A,hiC
疑心暗鬼,梅とら,鏡音リン,mid2A,hiC
Gimme×Gimme,八王子P×ギガ,初音ミク,-,-,ミクはパートは基本ラップで音域は未計測。
Gimme×Gimme,八王子P×ギガ,鏡音リン,mid1G#,hiG(hiG#)
君色に染まる,TOKOTOKO（西沢さんP）,GUMI,mid1G,hiD,
きみも悪い人でよかった,キノピオピー,初音ミク,mid2B,hiG,
キメラ,DECO*27,初音ミク,mid2C#,hihiA,
キャットラビング,香椎モイミ,可不,mid1F#,hiD,
キャラバン,syudou,初音ミク,mid2F,hihiA#,
Q,椎名もた,鏡音リン,mid2A,hihiA,
きゅうくらりん,いよわ,可不,mid2B,hiF,
キュートなカノジョ,syudou,可不,mid2E,hihiC#,
キューピット,Kai,初音ミク,mid2A#,hihiB,
強風オールバック,ゆこぴ,歌愛ユキ,mid1G,hiB,
KILLER B,梅とら,初音ミク,mid2C,hiC,
KILLER B,梅とら,鏡音リン,mid2C,hiC
KILLER B,梅とら,巡音ルカ,mid2C,hiC
KILLER B,梅とら,GUMI,mid2C,hiC
KILLER B,梅とら,IA,mid2C,hiC
KING,Kanaria,GUMI,mid1G,hiG,
金星のダンス,ナユタン星人,初音ミク,mid2E,hihiB,
金曜日のおはよう,HoneyWorks,GUMI,mid2A#,hiC,
QUEEN,Kanaria,GUMI,mid2A#,hiG#,
クイーンオブハート,奏音69,巡音ルカ,mid1F,hiG,
クィホーティ,エイハブ,可不,mid2C,hiF,
空想庭園依存症,cosMo(暴走P),鏡音リン,mid1G#,hihiD,ラスサビで転調+1涙さえかれ【て】しまう【hihiD】ラスサビ最後hihiAロングトーン
空奏列車,Orangestar,IA,mid2D,hiG#,
九龍レトロ,トーマ,GUMI,mid2C,hihiC,
くたばれPTA,梨本P,初音ミク,mid1G,hiF,
グッバイ宣言,Chinozo,flower,mid2C,hihiC,
クラブ=マジェスティ,nyanyannya,鏡音レン,mid1C,hihiA#,
Crazy ∞ nighT,ひとしずく×やまP,初音ミク,mid2B,hihiC#,
Crazy ∞ nighT,ひとしずく×やまP,鏡音リン,mid2C,hihiC#
Crazy ∞ nighT,ひとしずく×やまP,鏡音レン,mid2C,hihiC#
Crazy ∞ nighT,ひとしずく×やまP,巡音ルカ,mid1G,hiC#
Crazy ∞ nighT,ひとしずく×やまP,KAITO,lowG,mid2C#
Crazy ∞ nighT,ひとしずく×やまP,MEIKO,mid2F,hiC#
Crazy ∞ nighT,ひとしずく×やまP,GUMI,mid2C,hiC#
Crazy ∞ nighT,ひとしずく×やまP,神威がくぽ,lowG,mid2C#
黒猫,赤髪,GUMI,mid2D,hiE,
GETCHA!,Giga & KIRA,初音ミク,mid1G#,hiF,
GETCHA!,Giga & KIRA,GUMi,mid1G#,hihiA#
ケッペキショウ,すこっぷ,GUMI,mid2D#,hiD#,
