タイトル,アーティスト名,ボーカル,最低,最高,備考
やかん,木村わいP,初音ミク,mid2A,hihihihiA,最高音は約21秒のロングトーンでhihiAから2オクターブ上昇。
ヤキモチの答え,HoneyWorks,GUMI,mid2D,hiG,
野狗子,Peg,心華,mid2C#,hiD#,
ヤツメ穴,××××,ころんぱ4号,mid1E,hiA,
ヤツメ穴,××××,デフォ子,mid1E,hiB
ヤンキーボーイ・ヤンキーガール,トーマ,初音ミク,mid2D,hihiA#,
ユアハイネス☆マイプリンセス,ぱんたん,神威がくぽ,mid1D#,hiB,
ユアハイネス☆マイプリンセス,ぱんたん,KAITO,mid1C,hiB
ユアハイネス☆マイプリンセス,ぱんたん,鏡音レン,mid2C,hihiB
ユアハイネス☆マイプリンセス,ぱんたん,氷山キヨテル,mid1D#,hiB
u,shr,鏡音リン,mid1G,hiC#,
夕景イエスタデイ,じん(自然の敵P),IA,mid2B,hiF,
夕立のりぼん,みきとP,MAYU,mid1G#,hD#,
幽霊東京,Ayase,初音ミク,mid2A#,hiG#,
ゆるふわ樹海ガール,石風呂,初音ミク,mid2D,hiE,
夜明けと蛍,n-buna,初音ミク,mid1F#,hiG#,
酔いどれ知らず,Kanaria,GUMI,mid2A,hiE,
浴槽とネオンテトラ,REISAI,flower,mid2A,hihiA,
吉原ラメント,亜沙,重音テト,mid1G#,hiB,
夜咄ディセイブ,じん(自然の敵P),IA,mid2A,hiD,
夜もすがら君思ふ,TOKOTOKO（西沢さんP）,GUMI,mid2A#,hiC#,
45秒,れすぽん,初音ミク,mid2B,hiB,
45秒,れすぽん,GUMI,mid2B,hiB
404：虚像,しとお,初音ミク,mid1G#,hiE,
