タイトル,アーティスト名,ボーカル,最低,最高,備考
嗚呼、素晴らしきニャン生,Nem,GUMI,mid2A#,hiC#,
嗚呼、素晴らしきニャン生,Nem,鏡音レン,mid1G,hiA#
EYE,Kanaria,GUMI,mid2A,hiF#,
愛言葉,DECO*27,初音ミク,mid2B,hiD,
愛言葉Ⅱ,DECO*27,初音ミク,mid1G,hiD,
愛言葉Ⅲ,DECO*27,初音ミク,mid1G#,hiE,
愛言葉Ⅳ,DECO*27,初音ミク,mid1G#,hiF,
愛して愛して愛して,きくお,初音ミク,mid2A#,hiG#,
Ice breaker,ねじ式,結月ゆかり,mid2D#,hiF,
Ice breaker,ねじ式,IA,mid2D#,hiF
あいたいあの子に、あわせてあげる。,アメリカ民謡研究会,重音テト,hiA#,hiG#,
あいたいあの子に、あわせてあげる。,アメリカ民謡研究会,小春六花,hiA#,hiG#
アイディスマイル,とあ,初音ミク,mid1G#,hiF#,
アイディスマイル,とあ,鏡音リン,mid1F#,hiF#
アイデンティティ,Kanaria,GUMI,mid2A,hiG,
アイデンティティ,Kanaria,初音ミク,mid2A,hiD
Iなんです,れるりり,初音ミク,mid2C#,hiD#,
曖昧劣情Lover,電ポルP,flower,mid2D,hiF#,
愛迷エレジー,DECO*27,初音ミク,mid2B,hiC,
愛欲のプリズナー,ひとしずくP×やま△,鏡音レン,mid1E,hiA#,
愛欲のプリズナー,ひとしずくP×やま△,鏡音リン,mid2E,hihiA#
アイラビューアイニジュー,KEI,初音ミク,mid1G,hiE,サビでの最高音はhiD
I♥,Junky,鏡音リン,mid2C,hiA#,
アウターサイエンス,じん(自然の敵P),IA,mid1E,hiE,
阿吽のビーツ,羽生まゐご,flower,mid2A,hihiB,
アサガオの散る頃に,じっぷす,初音ミク,mid2B,hihiC,
アザレアの亡霊,トーマ,初音ミク,mid2A,hihiD,
アスノヨゾラ哨戒班,Orangestar,IA,mid1E,hiF#,アウトロのフェイクでhihiC#出現
アディショナルメモリー,じん,IA,mid2D,hiF#,
アトラクトライト,*Luna,鏡音レン,mid1G,hiF,
貴方だけが、幸せでありますように。,アメリカ民謡研究会,紲星あかり,-,-,メロディーはなくポエトリーリーディングで構成されている
貴方に花を　私に唄を,Re:A&Re:nG,初音ミク,mid2C#,hiF#,サビの最高音はhiF（なま【え】なんていらないよ）
