タイトル,アーティスト名,ボーカル,最低,最高,備考
ダーリンダンス,かいりきベア,初音ミク,mid2F#,hihiC,
ダイダイダイダイダイキライ,雨良,初音ミク,mid1F,hiG#,サビのヒーカップ部分を含めると最高音はhihiF
ダイダイダイダイダイキライ,雨良,重音テト,mid1F,hiG#
Dear,19's Sound Factory,,mid2A,hihiA,JOYSOUNDに企画入曲。
脱獄,Neru,鏡音リン,mid2D#,hiG#,
ダブルラリアット,アゴアニキ,巡音ルカ,mid1D,hiE,サビでhiE連発「はん【け】［い］はちじゅ【う】［ごセ］ンチがこの［手］の届く距離」　【hiE】［hiD］
だれかの心臓になれたなら,ユリイ・カノン,GUMI,mid1G#,hihiC,
ダンスロボットダンス,ナユタン星人,初音ミク,hiA,hihiA,
CH4NGE,Giga,可不,mid1D#,hiF#,
地球最後の告白を,kemu,GUMI,mid1F,hiG,
チュルリラ・チュルリラ・ダッダッダ！,和田たけあき,結月ゆかり,mid2A,hiF#,
チルドレンレコード,じん(自然の敵P),IA,mid2B,hihiF#,ラスサビで転調キー+2。それまでの最高音はサビとCメロのhihiE
つきうさぎ,OSTER project,初音ミク,mid2A#,hiG,hiGはCメロで2回。ラスサビで転調。ラストは18秒にも及ぶ超ロングトーン。
月歌,あわあわp,初音ミク,mid2D,hihiA,サビでhiG以上連発。ラストにhihiAのロングトーン。
帝国少女,R Sound Design,初音ミク,mid2B,hiE,
泥中に咲く,HarryP,初音ミク,mid2A#,hiF,
テオ,Omoi,初音ミク,mid2D#,hihiA,
デッドアンドシーク,じん(自然の敵P),IA,mid1E,hiF#,
テノヒラ,wowaka,初音ミク,,hihiC,
低音厨音域テスト,木村わいP,初音ミク,lowlowlowE,hiC,
Tell Your World,kz,初音ミク,mid2A#,hiG,2番サビ終わりのFakeでhiG#～hihiCまで出現
テレパシ,DECO*27,初音ミク,mid1G,hiD,
テロル,Neru,鏡音リン,mid2B,hihiA,
天樂,ゆうゆP,鏡音リン,mid2A,hihiA,
天才ロック,カラスヤスボウ,鏡音リン,mid1D,hiC,
どういうことなの！？,くちばしP,初音ミク,mid2A#,hiG#,サビでhiG#連発。
東京テディベア,neru,鏡音リン,mid2D,hihiA#,
トウキョウト・ロック・シティ,えのまるはいのことん,初音ミク,mid2B,hiC#,
透明アンサー,じん(自然の敵P),IA,mid1F#,hihiB,
とおせんぼ,wowaka,初音ミク,mid2C,hihiC,hihiCはすべてロングトーン。それ以外ではhiG#が最高。
ド屑,なきそ,歌愛ユキ,mid1F#,hiF,
ドクター＝ファンクビート,nyanyannya,KAITO,mid1D,hiD#,
Dreaming Leaf-ユメミルコトノハ-,OSTER project,初音ミク,mid2C#,hiF#,
永久に続く五線譜,デッドボールP,初音ミク,mid2D,hiG,転調前の最高音は、サビ前、サビ、Bメロで登場するhiE。転調後キー3個上がり。
