タイトル,アーティスト名,ボーカル,最低,最高,備考
Perfect Crime,samfree,巡音ルカ,mid2C#,hiF,
Perfect Crime,samfree,鏡音レン,mid2C#,hiD#
パーフェクト生命,ナユタン星人,初音ミク,mid2C,hiG#,
廃墟の国のアリス,まふまふ,初音ミク,mid1F#,hihiA,
拝啓ドッペルゲンガー,kemu,GUMI,mid2A,hiF#,
バイビーベイビーサヨウナラ,saiB,初音ミク,mid2C,hihiC#,
敗北の少年,kemu,GUMI,mid1F,hiC,
ハウトゥー世界征服,Neru,鏡音リン,mid2B,hihiB,
ハウトゥー世界征服,Neru,鏡音レン,mid2B,hihiB
ハオ,DECO*27,初音ミク,mid1G,hiE,
馬鹿,syudou,初音ミク,mid2F,hihiB,
馬鹿はアノマリーに憧れる,鬱P,鏡音リン,mid2B,hiF#,鏡音リンの曲。デスヴォイスは調査対象外。
バグ,かいりきベア,初音ミク,mid2A#,hihiA#,
ハジマリノイロリターナー,nyanyannya,鏡音リン,mid1A,hihiC#,鏡音リン、レンの曲。レンの最高音はhiC#
ハジマリノイロリターナー,nyanyannya,鏡音レン,mid1A,hiC#
パズルガール,とあ,初音ミク,mid1F#,hiE,
Bad ∞ End ∞ Night,ひとしずく×やまP,初音ミク,mid1G#,hihiA,
Bad ∞ End ∞ Night,ひとしずく×やまP,鏡音リン,mid2D#,hihiC
Bad ∞ End ∞ Night,ひとしずく×やまP,鏡音レン,mid2A,hihiA
Bad ∞ End ∞ Night,ひとしずく×やまP,巡音ルカ,mid2D#,hiC#
Bad ∞ End ∞ Night,ひとしずく×やまP,KAITO,mid1F,mid2C#
Bad ∞ End ∞ Night,ひとしずく×やまP,MEIKO,mid2B,hihiC#
Bad ∞ End ∞ Night,ひとしずく×やまP,GUMI,mid2C,hiC#
Bad ∞ End ∞ Night,ひとしずく×やまP,神威がくぽ,mid1A,mid2G#
初音ミクの消失,cosMo＠暴走P,初音ミク,mid2A#,hiG#,早口部分が難しい。
Packaged,kz,初音ミク,mid2C,hiG,フェイクでhihiA#。1回目のフェイクの前でhiF歌いだしのサビなどそれまでの最高音はhiD。
初恋学園・純愛科,Nem,鏡音リン,mid1G,hiC,
初恋学園・純愛科,Nem,鏡音レン,mid1G,hiC
初恋学園・純愛科,Nem,GUMI,mid1G,hiC
初恋日記,香椎モイミ,音街ウナ,mid1F#,hiE,
PaⅢ.SENSATION,雄之助,初音ミク,mid2A#,hiD,
PaⅢ.SENSATION,雄之助,GUMI,mid2A#,hiD
PaⅢ.SENSATION,雄之助,鏡音リン,mid2B,hiE
ハッピーシンセサイザ,EasyPop,巡音ルカ,mid2C,hiC#,
ハッピーシンセサイザ,EasyPop,GUMI,mid2C,hiC#
Happy Halloween,Junky,鏡音リン,mid2A#,hiF,
ハッピーホロウと神様倶楽部,ナノウ,初音ミク,mid2E,hiG#,
果てぬミライのその先へ,たべっこ,初音ミク,mid1G#,hiG#,サビ終わりのロングトーンはhihiCまで上昇
花降らし,n-buna,初音ミク,mid1G#,hiE,
花見る人,shr,鏡音レン,mid1G#,hiD,
花を唄う,シノ,初音ミク,mid1F#,hiF#,
バニー,すりぃ,鏡音レン,mid2F,hihiA,
バビロン,トーマ,初音ミク,mid1G#,hiF#,
HAKOBAKO PLAYER,アゴアニキ,鏡音リン,mid1G,hiD,鏡音リン、レンの曲。サビ「{い}【き】{て}い{ま}す」　{hiB} 【hiD】
HAKOBAKO PLAYER,アゴアニキ,鏡音レン,mid1G,hiD
パメラ,バルーン,flower,mid2F#,hihiC,
パラサイト,DECO*27,初音ミク,mid2B,hihiA#,
Paranoid Doll,natsuP,神威がくぽ,mid1B,hiD,神威がくぽの曲。GACKTによってカバーされた。Aメロで低音連発、最低音はBメロ。最高音はラスサビの転調後。
パラメタ,40mP,初音ミク,mid2C,hiD#,
バレリーコ,みきとP,GUMI,mid1G#,hiD#,
ハロ／ハワユ,ナノウ,初音ミク,mid1G#,hiE,
パンダヒーロー,ハチ,GUMI,mid2A,hihiB,ラスサビでhihiBが1回。hiF#の使用回数が非常に多い。
Pandemic,融合P,GUMI,mid1G#,hihiA,
ビースト・ダンス,和田たけあき,音街ウナ,mid2B,hiC#,
Beat Eater,ポリスピカデリー,初音ミク,mid2D,hiD,
Be my Guest,Azari,歌愛ユキ,mid2D,hiD,
Be my Guest,Azari,flower,mid1F#,hiD
